forecast_period,realization,swmi1,swmi2,nemi,nemo
2025-06-11,000,-6.901078,13.061583,4.6790676,4.2010584
2025-06-11,001,-8.12649,13.192086,3.7147818,4.999173
2025-06-11,002,-7.691983,13.622379,4.9146824,4.5757275
2025-06-11,003,-7.835761,12.636269,4.203869,4.2460318
2025-06-11,004,-5.4587703,14.111897,5.9618053,4.8242393
2025-06-11,005,-7.7386856,12.684486,4.719246,4.417163
2025-06-11,006,-6.974132,13.098008,4.701885,4.500827
2025-06-11,007,-7.0929165,12.949511,5.2906747,4.7816634
2025-06-11,008,-4.006604,14.073113,5.801091,4.5319114
2025-06-11,009,-6.322779,14.035115,4.8938494,4.2606645
2025-06-11,010,-5.830825,13.506726,6.658234,4.5349703
2025-06-11,011,-7.481579,13.667802,4.8214283,4.6592264
2025-06-11,012,-5.0619984,13.079664,5.4583335,4.3567295
2025-06-11,013,-8.496504,12.925838,4.099206,4.7775297
2025-06-11,014,-6.1350684,12.512054,4.2083335,4.628555
2025-06-11,015,-5.188034,13.443047,4.8710318,4.6282244
2025-06-11,016,-6.8371534,13.277691,4.3625994,4.6011906
2025-06-11,017,-6.6979084,12.922869,5.4751983,4.4116235
2025-06-11,018,-4.9157763,13.406272,3.3005953,5.7266865
2025-06-11,019,-6.0813417,12.916405,3.8978176,5.5356317
2025-06-11,020,-6.448896,12.399459,5.2718253,5.85582
2025-06-11,021,-5.798206,12.68204,4.4290676,5.1965938
2025-06-11,022,-5.8153167,13.290007,2.2326388,6.6624503
2025-06-11,023,-5.0705776,12.624039,3.6398811,4.8789682
2025-06-11,024,-5.3468666,12.875088,3.7103176,5.0497684
2025-06-11,025,-5.6210184,12.861198,3.96875,6.3372188
2025-06-11,026,-5.1119366,12.618536,4.2380953,5.1941137
2025-06-11,027,-6.121698,12.88653,4.0064483,6.4501486
2025-06-11,028,-7.7711086,13.144392,4.1061506,5.8207674
2025-06-11,029,-4.0153947,13.475454,6.0987105,6.0880456
2025-06-11,030,-5.436772,13.06167,3.6309524,5.0896993
2025-06-11,031,-7.917816,13.39413,3.8194444,5.7715774
2025-06-11,032,-5.332103,12.9940605,3.7762897,5.817543
2025-06-11,033,-6.028749,12.514238,4.4499006,5.4637895
2025-06-11,034,-4.4122148,13.1025505,4.4449406,5.5562167
2025-06-11,035,-5.54832,12.858315,4.342758,5.783978
2025-06-12,000,-6.5885835,10.436292,3.0588627,7.9295363
2025-06-12,001,-7.8811464,9.301333,2.767196,7.838211
2025-06-12,002,-6.7618766,9.450706,3.1213622,6.7063494
2025-06-12,003,-5.663775,10.836012,4.2772818,7.8765707
2025-06-12,004,-8.379111,10.834062,3.715774,7.659364
2025-06-12,005,-4.4468894,10.4994755,3.651455,8.246748
2025-06-12,006,-6.525857,9.87037,2.0338955,7.562996
2025-06-12,007,-5.2292747,10.221173,2.3516865,6.5747633
2025-06-12,008,-5.695356,10.259056,2.8209324,7.2624836
2025-06-12,009,-6.123953,10.872088,2.7741401,7.443177
2025-06-12,010,-6.7620916,11.861692,4.2116404,6.636353
2025-06-12,011,-6.427324,10.260307,3.3989747,6.934634
2025-06-12,012,-6.2869997,11.057448,4.4970236,7.471671
2025-06-12,013,-4.005973,9.770615,3.4389882,8.423253
2025-06-12,014,-6.5128317,10.71276,4.38459,8.802993
2025-06-12,015,-6.3029118,10.806836,4.582341,7.7422843
2025-06-12,016,-5.756534,10.497437,3.1777449,8.271495
2025-06-12,017,-5.564724,10.761764,3.486773,7.6558366
2025-06-12,018,-4.5092964,10.3158045,3.4047623,10.06509
2025-06-12,019,-4.681942,9.793851,3.528935,8.876708
2025-06-12,020,-3.406641,9.175868,2.9112103,9.639137
2025-06-12,021,-5.121228,10.145848,3.3485448,9.866705
2025-06-12,022,-4.579939,9.62564,3.4404764,9.963459
2025-06-12,023,-3.3413734,10.314611,2.4580028,8.225419
2025-06-12,024,-6.194784,9.877039,2.2526457,7.527171
2025-06-12,025,-7.2450566,10.063592,2.4289021,9.08777
2025-06-12,026,-6.399432,9.793501,1.6056546,9.1588955
2025-06-12,027,-4.6709023,10.701665,2.8118386,8.734072
2025-06-12,028,-4.432828,10.705538,2.6592264,8.870535
2025-06-12,029,-3.36272,10.093932,2.232308,9.243993
2025-06-12,030,-6.2257786,10.961157,2.3630953,8.343695
2025-06-12,031,-6.0589714,9.834585,2.0482802,9.560433
2025-06-12,032,-3.7989397,10.929158,4.814649,9.572007
2025-06-12,033,-4.275776,9.935942,3.0790343,7.4393187
2025-06-12,034,-5.0141697,10.883793,4.325893,9.180886
2025-06-12,035,-5.1730494,10.507745,3.1531084,9.024995
2025-06-13,000,-6.0904617,5.8422146,0.72767854,6.2080584
2025-06-13,001,-6.5634875,4.920539,1.6121032,5.0075784
2025-06-13,002,-8.493401,4.030427,-0.9811506,4.7278714
2025-06-13,003,-5.427275,5.417744,3.0476189,5.577106
2025-06-13,004,-5.955771,5.2425466,0.46180552,5.104663
2025-06-13,005,-4.3504057,6.891102,2.6066468,6.9496527
2025-06-13,006,-6.795859,5.837701,0.9882606,6.6529984
2025-06-13,007,-7.6490173,4.9499183,-0.57919973,5.6474595
2025-06-13,008,-6.987212,5.448608,1.8411045,5.653825
2025-06-13,009,-4.9641824,5.771896,2.0823412,4.8110666
2025-06-13,010,-5.68068,7.070434,1.5011574,5.3695436
2025-06-13,011,-4.8258495,5.540066,1.2170967,4.648286
2025-06-13,012,-6.4140067,6.020615,-0.051091194,5.2919974
2025-06-13,013,-4.3295727,5.414512,1.6921297,5.8694882
2025-06-13,014,-4.019371,6.338924,2.542163,6.145695
2025-06-13,015,-5.696279,6.277516,1.1775793,6.1710205
2025-06-13,016,-6.2298093,5.643344,2.103836,4.9715056
2025-06-13,017,-6.8608084,4.981889,0.69031084,5.1223273
2025-06-13,018,-6.9711156,4.643169,-1.0714285,6.1663637
2025-06-13,019,-6.5823946,4.1593003,-0.5064484,5.6974764
2025-06-13,020,-5.397339,5.107209,0.059358418,6.9594636
2025-06-13,021,-5.180113,4.3947706,-0.49355173,6.5527177
2025-06-13,022,-5.4662766,5.4342246,0.23710316,6.047729
2025-06-13,023,-6.017035,6.0145,1.0823413,5.8573637
2025-06-13,024,-5.3780265,5.2397504,0.7149471,4.436949
2025-06-13,025,-6.1831026,4.729472,0.16898146,5.2375994
2025-06-13,026,-4.5974917,6.1611924,-0.3425926,6.5797234
2025-06-13,027,-3.7735903,5.1589513,2.5801919,6.5542884
2025-06-13,028,-4.933923,4.4449687,0.91319454,5.3559856
2025-06-13,029,-5.8540964,2.5506933,-1.2752975,7.010913
2025-06-13,030,-4.583749,3.7766712,0.40062833,5.510527
2025-06-13,031,-6.0435443,5.850192,1.5975529,6.385278
2025-06-13,032,-6.78708,6.3065753,-0.43568125,5.4737372
2025-06-13,033,-5.7183046,4.281243,-0.5145503,5.2286434
2025-06-13,034,-5.712396,5.5866528,0.6203704,7.139137
2025-06-13,035,-5.8640895,5.1574655,0.1521163,5.7136793
2025-06-14,000,-5.980607,3.4966807,-0.3655754,1.7866237
2025-06-14,001,-6.5121245,3.8438156,-0.14186502,2.3154762
2025-06-14,002,-7.450272,1.499738,-1.8898809,1.0611773
2025-06-14,003,-6.800764,2.5400069,0.609623,1.100033
2025-06-14,004,-5.223339,1.5419288,-1.0223215,2.032242
2025-06-14,005,-4.9545617,5.4392905,1.4404762,3.1854331
2025-06-14,006,-5.3912845,1.4417366,-0.5362103,2.278191
2025-06-14,007,-6.762286,3.034766,-0.8194445,2.5001655
2025-06-14,008,-5.266867,4.5897098,1.0982143,2.3377976
2025-06-14,009,-8.487908,4.0008736,-0.59275794,0.75248015
2025-06-14,010,-2.8809896,5.0873513,1.9092262,1.9432044
2025-06-14,011,-4.200887,3.699598,-0.6944444,0.9012897
2025-06-14,012,-6.0938387,3.7901816,0.49057537,3.1672454
2025-06-14,013,-5.0743656,3.872292,-0.99900794,0.6931217
2025-06-14,014,-6.1768646,3.1695492,-0.080357164,0.7994378
2025-06-14,015,-5.335243,2.455276,-0.54861116,2.7983632
2025-06-14,016,-7.751894,1.290269,-1.9613094,2.6193783
2025-06-14,017,-8.265556,2.9872468,-0.026785702,2.8794644
2025-06-14,018,-7.1005244,4.9228687,0.72867066,3.088211
2025-06-14,019,-4.310218,2.6804683,1.2609127,3.6172287
2025-06-14,020,-6.8984394,3.1532145,-1.4270834,4.1735287
2025-06-14,021,-4.2581744,3.3599756,1.3933532,1.8721892
2025-06-14,022,-5.9548044,4.170772,-0.13740075,2.8650794
2025-06-14,023,-6.6091366,5.984364,1.5109127,4.4570107
2025-06-14,024,-3.765119,6.065776,3.8819447,2.4960318
2025-06-14,025,-3.6279137,4.635133,1.4766865,2.5591931
2025-06-14,026,-6.6114187,5.600629,0.80803573,3.4235284
2025-06-14,027,-6.6670227,4.672257,0.10267857,2.8945105
2025-06-14,028,-4.1207914,3.2754192,0.56498015,4.031498
2025-06-14,029,-5.020785,2.0634172,1.9479167,3.3186178
2025-06-14,030,-5.190203,1.012666,0.46875,2.189732
2025-06-14,031,-5.2286806,4.418501,0.702877,3.9565973
2025-06-14,032,-6.2747183,4.2461567,-0.59771824,1.9180721
2025-06-14,033,-5.2614446,5.568833,0.5515873,2.2137897
2025-06-14,034,-4.183243,5.031272,2.6597223,3.1775794
2025-06-14,035,-5.3380117,5.2098184,1.0198412,2.2443783
2025-06-15,000,-4.540291,5.4318657,2.156746,1.8877314
2025-06-15,001,-4.228762,3.99406,3.6369047,2.9106317
2025-06-15,002,-4.808388,1.7538434,0.1999008,0.40170303
2025-06-15,003,-5.7383614,4.0773935,-0.3159722,1.3455688
2025-06-15,004,-3.8930976,3.8008385,2.014881,2.2585151
2025-06-15,005,-6.226609,4.251485,2.2519841,3.0066137
2025-06-15,006,-2.0124643,4.690077,1.9543651,1.744709
2025-06-15,007,-4.9108715,5.7120895,3.6959324,2.8182871
2025-06-15,008,-3.5392385,4.8418064,2.984127,3.4739583
2025-06-15,009,-5.749207,4.7303457,0.7450397,1.8373016
2025-06-15,010,-2.929471,7.222659,4.234127,2.4693286
2025-06-15,011,-4.102499,7.1775856,3.7410717,0.7069279
2025-06-15,012,-2.1231549,5.7696543,3.017857,1.9279927
2025-06-15,013,-3.5137267,5.641597,3.4489088,3.4263394
